Direction,Link Road,Hour,HGV Volume,Total Volume
Northbound,A1(M),0,38.5,353.43333333333334
Northbound,A1(M),1,44.4,213.36666666666667
Northbound,A1(M),2,38.13333333333333,155.16666666666666
Northbound,A1(M),3,40.03333333333333,141.86666666666667
Northbound,A1(M),4,52.4,186.76666666666668
Northbound,A1(M),5,83.66666666666667,413.7
Northbound,A1(M),6,141.93333333333334,1330.3333333333333
Northbound,A1(M),7,188.13333333333333,2569.366666666667
Northbound,A1(M),8,202.2,2691.3
Northbound,A1(M),9,234.63333333333333,2304.766666666667
Northbound,A1(M),10,249.43333333333334,2336.4666666666667
Northbound,A1(M),11,264.3,2546.7
Northbound,A1(M),12,275.1666666666667,2756.5
Northbound,A1(M),13,273.3666666666667,2759.866666666667
Northbound,A1(M),14,268.9,2954.4333333333334
Northbound,A1(M),15,247.2,3209.633333333333
Northbound,A1(M),16,198.0,3556.5666666666666
Northbound,A1(M),17,150.03333333333333,3560.0
Northbound,A1(M),18,114.7,3036.9
Northbound,A1(M),19,79.53333333333333,2203.9333333333334
Northbound,A1(M),20,65.7,1577.3
Northbound,A1(M),21,53.96666666666667,1166.2
Northbound,A1(M),22,47.96666666666667,938.3666666666667
Northbound,A1(M),23,45.46666666666667,642.9333333333333
Northbound,A1023,0,37.4,323.43333333333334
Northbound,A1023,1,41.9,211.4
Northbound,A1023,2,43.06666666666667,159.33333333333334
Northbound,A1023,3,50.666666666666664,154.0
Northbound,A1023,4,81.3,220.63333333333333
Northbound,A1023,5,118.63333333333334,422.3333333333333
Northbound,A1023,6,159.5,1113.0
Northbound,A1023,7,184.66666666666666,1703.8666666666666
Northbound,A1023,8,161.76666666666668,1670.4666666666667
Northbound,A1023,9,185.43333333333334,1703.6666666666667
Northbound,A1023,10,203.76666666666668,1878.2666666666667
Northbound,A1023,11,212.83333333333334,1967.8
Northbound,A1023,12,230.2,2014.3666666666666
Northbound,A1023,13,235.93333333333334,2067.4
Northbound,A1023,14,226.9,2178.633333333333
Northbound,A1023,15,188.4,2276.9666666666667
Northbound,A1023,16,146.13333333333333,2436.8
Northbound,A1023,17,114.76666666666667,2326.6666666666665
Northbound,A1023,18,100.3,2073.5666666666666
Northbound,A1023,19,81.33333333333333,1666.3
Northbound,A1023,20,56.7,1236.1
Northbound,A1023,21,42.53333333333333,894.8333333333334
Northbound,A1023,22,34.166666666666664,722.1666666666666
Northbound,A1023,23,33.4,509.1
Northbound,A1089,0,40.0,105.66666666666667
Northbound,A1089,1,38.7,87.6
Northbound,A1089,2,41.63333333333333,87.16666666666667
Northbound,A1089,3,54.666666666666664,103.5
Northbound,A1089,4,119.43333333333334,201.43333333333334
Northbound,A1089,5,193.83333333333334,605.4666666666667
Northbound,A1089,6,227.1,567.0333333333333
Northbound,A1089,7,228.8,611.0
Northbound,A1089,8,216.76666666666668,670.8
Northbound,A1089,9,209.93333333333334,718.0333333333333
Northbound,A1089,10,208.4,808.4333333333333
Northbound,A1089,11,217.23333333333332,860.3
Northbound,A1089,12,221.76666666666668,932.8333333333334
Northbound,A1089,13,214.0,956.4
Northbound,A1089,14,212.0,964.1666666666666
Northbound,A1089,15,188.4,936.2333333333333
Northbound,A1089,16,152.8,1052.9333333333334
Northbound,A1089,17,122.03333333333333,1102.1
Northbound,A1089,18,91.93333333333334,1028.3333333333333
Northbound,A1089,19,66.8,565.2666666666667
Northbound,A1089,20,60.06666666666667,416.03333333333336
Northbound,A1089,21,46.56666666666667,352.56666666666666
Northbound,A1089,22,34.9,245.26666666666668
Northbound,A1089,23,39.53333333333333,148.63333333333333
Northbound,A21,0,15.4,99.8
Northbound,A21,1,16.6,68.86666666666666
Northbound,A21,2,15.066666666666666,65.16666666666667
Northbound,A21,3,17.6,98.36666666666666
Northbound,A21,4,41.2,216.8
Northbound,A21,5,75.8,681.4333333333333
Northbound,A21,6,97.26666666666667,1209.6333333333334
Northbound,A21,7,86.66666666666667,1434.8
Northbound,A21,8,103.53333333333333,1418.4333333333334
Northbound,A21,9,130.7,1482.3333333333333
Northbound,A21,10,135.26666666666668,1515.9666666666667
Northbound,A21,11,128.1,1512.3
Northbound,A21,12,130.2,1424.5666666666666
Northbound,A21,13,126.26666666666667,1338.2
Northbound,A21,14,115.2,1335.6333333333334
Northbound,A21,15,94.1,1493.3
Northbound,A21,16,77.2,1677.9333333333334
Northbound,A21,17,57.06666666666667,1648.3
Northbound,A21,18,41.266666666666666,1295.8333333333333
Northbound,A21,19,36.7,908.1
Northbound,A21,20,31.3,665.3666666666667
Northbound,A21,21,23.333333333333332,456.8333333333333
Northbound,A21,22,18.4,324.6666666666667
Northbound,A21,23,15.9,187.83333333333334
Northbound,A3,0,24.366666666666667,261.76666666666665
Northbound,A3,1,22.366666666666667,148.9
Northbound,A3,2,18.366666666666667,105.53333333333333
Northbound,A3,3,22.066666666666666,150.83333333333334
Northbound,A3,4,35.166666666666664,265.3666666666667
Northbound,A3,5,63.43333333333333,635.2333333333333
Northbound,A3,6,127.1,1711.3666666666666
Northbound,A3,7,150.63333333333333,2149.9666666666667
Northbound,A3,8,170.96666666666667,2005.3
Northbound,A3,9,187.26666666666668,2000.2666666666667
Northbound,A3,10,203.93333333333334,2018.7666666666667
