Direction,Jct_to_Jct,Hour,HGV Volume,Total Volume
Clockwise,Dartford QEII,0,153.96666666666667,621.3666666666667
Clockwise,Dartford QEII,1,167.8,475.23333333333335
Clockwise,Dartford QEII,2,180.23333333333332,418.1333333333333
Clockwise,Dartford QEII,3,222.63333333333333,508.26666666666665
Clockwise,Dartford QEII,4,376.3333333333333,882.1
Clockwise,Dartford QEII,5,638.4,2271.766666666667
Clockwise,Dartford QEII,6,840.9666666666667,3604.4
Clockwise,Dartford QEII,7,812.2666666666667,3734.5666666666666
Clockwise,Dartford QEII,8,694.1333333333333,3495.9666666666667
Clockwise,Dartford QEII,9,688.9333333333333,3563.733333333333
Clockwise,Dartford QEII,10,706.2,3950.0333333333333
Clockwise,Dartford QEII,11,696.2666666666667,3886.9333333333334
Clockwise,Dartford QEII,12,707.6,3810.4
Clockwise,Dartford QEII,13,718.8333333333334,3803.366666666667
Clockwise,Dartford QEII,14,693.4666666666667,3837.6
Clockwise,Dartford QEII,15,613.1666666666666,3962.4333333333334
Clockwise,Dartford QEII,16,520.4333333333333,4228.533333333334
Clockwise,Dartford QEII,17,451.3,4093.766666666667
Clockwise,Dartford QEII,18,422.23333333333335,3668.0
Clockwise,Dartford QEII,19,343.6,2822.4333333333334
Clockwise,Dartford QEII,20,276.53333333333336,2074.8333333333335
Clockwise,Dartford QEII,21,232.0,1534.8
Clockwise,Dartford QEII,22,182.5,1273.6666666666667
Clockwise,Dartford QEII,23,162.4,851.6333333333333
Clockwise,J1-2,0,216.72413793103448,881.1034482758621
Clockwise,J1-2,1,236.55172413793105,670.2068965517242
Clockwise,J1-2,2,248.58620689655172,599.4827586206897
Clockwise,J1-2,3,301.7931034482759,736.8275862068965
Clockwise,J1-2,4,482.82758620689657,1083.655172413793
Clockwise,J1-2,5,831.0344827586207,2619.9655172413795
Clockwise,J1-2,6,1171.3793103448277,4400.9655172413795
Clockwise,J1-2,7,1155.8275862068965,4717.724137931034
Clockwise,J1-2,8,925.1724137931035,4343.827586206897
Clockwise,J1-2,9,900.4137931034483,4364.413793103448
Clockwise,J1-2,10,896.8620689655172,4635.758620689655
Clockwise,J1-2,11,925.9310344827586,4644.3448275862065
Clockwise,J1-2,12,879.6206896551724,4670.137931034483
Clockwise,J1-2,13,868.6896551724138,4705.482758620689
Clockwise,J1-2,14,831.2758620689655,4902.413793103448
Clockwise,J1-2,15,775.6206896551724,4889.0344827586205
Clockwise,J1-2,16,859.7931034482758,5406.724137931034
Clockwise,J1-2,17,857.7931034482758,5437.620689655172
Clockwise,J1-2,18,703.0689655172414,4736.379310344828
Clockwise,J1-2,19,434.0689655172414,3491.448275862069
Clockwise,J1-2,20,350.0344827586207,2564.3793103448274
Clockwise,J1-2,21,288.2068965517241,1912.9655172413793
Clockwise,J1-2,22,231.93103448275863,1703.7241379310344
Clockwise,J1-2,23,232.55172413793105,1246.2758620689656
Clockwise,J11-12,0,157.3793103448276,944.2413793103449
Clockwise,J11-12,1,165.27586206896552,629.2413793103449
Clockwise,J11-12,2,171.82758620689654,501.7241379310345
Clockwise,J11-12,3,200.75862068965517,588.7586206896551
Clockwise,J11-12,4,256.13793103448273,1030.0
Clockwise,J11-12,5,425.51724137931035,2567.4827586206898
Clockwise,J11-12,6,577.551724137931,5471.172413793103
Clockwise,J11-12,7,536.2413793103449,5876.241379310345
Clockwise,J11-12,8,597.7586206896551,5968.862068965517
Clockwise,J11-12,9,707.8620689655172,6249.758620689655
Clockwise,J11-12,10,721.2068965517242,6509.379310344828
Clockwise,J11-12,11,743.0689655172414,6341.413793103448
Clockwise,J11-12,12,742.0344827586207,6189.206896551724
Clockwise,J11-12,13,771.3103448275862,6149.862068965517
Clockwise,J11-12,14,682.2068965517242,5955.793103448276
Clockwise,J11-12,15,593.7586206896551,5996.482758620689
Clockwise,J11-12,16,482.0344827586207,6269.482758620689
Clockwise,J11-12,17,420.82758620689657,6276.068965517241
Clockwise,J11-12,18,370.2758620689655,5885.310344827586
Clockwise,J11-12,19,326.62068965517244,4830.931034482759
Clockwise,J11-12,20,308.7931034482759,3684.3793103448274
Clockwise,J11-12,21,265.62068965517244,2734.4827586206898
Clockwise,J11-12,22,203.10344827586206,1934.4137931034484
Clockwise,J11-12,23,174.10344827586206,1370.6896551724137
Clockwise,J12-13,0,157.17241379310346,841.8275862068965
Clockwise,J12-13,1,154.44827586206895,569.0344827586207
Clockwise,J12-13,2,155.3793103448276,468.62068965517244
Clockwise,J12-13,3,190.55172413793105,674.2413793103449
Clockwise,J12-13,4,253.06896551724137,1297.1379310344828
Clockwise,J12-13,5,395.58620689655174,3098.1724137931033
Clockwise,J12-13,6,560.1379310344828,5998.551724137931
Clockwise,J12-13,7,538.0689655172414,6637.379310344828
Clockwise,J12-13,8,590.6206896551724,6511.241379310345
Clockwise,J12-13,9,714.4137931034483,6543.3448275862065
Clockwise,J12-13,10,750.1034482758621,6721.379310344828
Clockwise,J12-13,11,760.3103448275862,6539.724137931034
Clockwise,J12-13,12,759.1379310344828,6247.379310344828
Clockwise,J12-13,13,773.5862068965517,6082.586206896552
Clockwise,J12-13,14,719.3103448275862,5734.0344827586205
Clockwise,J12-13,15,631.7586206896551,5690.172413793103
Clockwise,J12-13,16,515.1034482758621,5683.689655172414
Clockwise,J12-13,17,429.62068965517244,5536.896551724138
Clockwise,J12-13,18,360.8965517241379,5377.724137931034
Clockwise,J12-13,19,339.9655172413793,4673.896551724138
Clockwise,J12-13,20,328.6896551724138,3758.3793103448274
Clockwise,J12-13,21,273.2413793103448,2867.9655172413795
Clockwise,J12-13,22,201.27586206896552,2001.0
Clockwise,J12-13,23,169.17241379310346,1295.551724137931
Clockwise,J13-14,0,162.0,873.2758620689655
Clockwise,J13-14,1,158.17241379310346,596.551724137931
Clockwise,J13-14,2,157.3448275862069,488.62068965517244
Clockwise,J13-14,3,198.68965517241378,735.551724137931
Clockwise,J13-14,4,260.51724137931035,1434.551724137931
Clockwise,J13-14,5,425.17241379310343,3305.0
Clockwise,J13-14,6,640.2068965517242,6124.620689655172
Clockwise,J13-14,7,642.7931034482758,6727.379310344828
Clockwise,J13-14,8,684.4827586206897,6564.482758620689
Clockwise,J13-14,9,828.5862068965517,6810.758620689655
Clockwise,J13-14,10,877.1034482758621,6982.172413793103
Clockwise,J13-14,11,878.6551724137931,6658.862068965517
Clockwise,J13-14,12,882.6551724137931,6281.620689655172
Clockwise,J13-14,13,889.1724137931035,6096.0
Clockwise,J13-14,14,817.7931034482758,5763.413793103448
Clockwise,J13-14,15,731.6551724137931,5664.827586206897
Clockwise,J13-14,16,617.0,5552.310344827586
Clockwise,J13-14,17,542.8620689655172,5492.379310344828
Clockwise,J13-14,18,478.9310344827586,5642.103448275862
Clockwise,J13-14,19,405.3448275862069,4959.3448275862065
Clockwise,J13-14,20,365.0689655172414,3993.103448275862
Clockwise,J13-14,21,299.0,3048.344827586207
Clockwise,J13-14,22,215.3448275862069,2160.0
Clockwise,J13-14,23,183.51724137931035,1401.3103448275863
Clockwise,J14-15,0,163.41666666666666,915.875
