Link Road,Detector_Name,Id,Name,Description,Longitude,Latitude,Status,Direction
A2,A2/8285A,2217,MIDAS site at A2/8285A priority 1 on link 104036201; GPS Ref: 555735;172087; Eastbound,A2/8285A,0.238701325,51.42639653,Active,Eastbound
A2,A2/8289A,3915,MIDAS site at A2/8289A priority 1 on link 104036201; GPS Ref: 556022;172163; Eastbound,A2/8289A,0.242859609,51.42700035,Active,Eastbound
A2,A2/8291A,1651,MIDAS site at A2/8291A priority 1 on link 200045586; GPS Ref: 556215;172197; Eastbound,A2/8291A,0.245648466,51.42725262,Active,Eastbound
A2,6047/2,7792,TMU Site 6047/2 on link A2 westbound within the A2018 junction; GPS Ref: 551664;172936; Westbound,6047/2,0.180552333,51.43512815,Active,Westbound
A2,6047/1,7793,TMU Site 6047/1 on link A2 westbound exit for A2018; GPS Ref: 551657;172916; Westbound,6047/1,0.180443142,51.43495032,Active,Westbound
A2,6048/2,7794,TMU Site 6048/2 on link A2 eastbound within the A2018 junction; GPS Ref: 551306;173218; Eastbound,6048/2,0.175526231,51.43775752,Active,Eastbound
A2,6048/1,7795,TMU Site 6048/1 on link A2 eastbound exit for A2018; GPS Ref: 551320;173234; Eastbound,6048/1,0.175734339,51.43789755,Active,Eastbound
A2,6175/1,8977,TMU Site 6175/1 on link A2 westbound access from A2018; GPS Ref: 551362;173119; Westbound,6175/1,0.176289026,51.43685306,Active,Westbound
A20,6176/1,8978,TMU Site 6176/1 on link A20 eastbound between A223 and M25/M20; GPS Ref: 548697;170000; Eastbound,6176/1,0.136668554,51.40953224,Active,Eastbound
A20,6177/1,8979,TMU Site 6177/1 on link A20 westbound between B2173 and A223; GPS Ref: 548948;169993; Westbound,6177/1,0.140271907,51.40940352,Active,Westbound
M20,M20/6404J,918,MIDAS site at M20/6404J priority 1 on link 104017801; GPS Ref: 559813;160097; Eastbound,M20/6404J,0.291920884,51.31753739,Active,Eastbound
M20,M20/6282J,2359,MIDAS site at M20/6282J priority 1 on link 104017402; GPS Ref: 552492;167884; Eastbound,M20/6282J,0.190284496,51.3895129,Active,Eastbound
M20,M20/6404A,4367,MIDAS site at M20/6404A priority 1 on link 104028301; GPS Ref: 559795;160052; Eastbound,M20/6404A,0.291642651,51.31713814,Active,Eastbound
