Direction,Link Road,Hour,HGV Volume,Total Volume
Northbound,A1(M),0,45.63333333333333,545.9666666666667
Northbound,A1(M),1,44.8,277.3
Northbound,A1(M),2,42.833333333333336,192.8
Northbound,A1(M),3,45.46666666666667,169.53333333333333
Northbound,A1(M),4,56.833333333333336,212.26666666666668
Northbound,A1(M),5,91.06666666666666,462.96666666666664
Northbound,A1(M),6,154.13333333333333,1486.7
Northbound,A1(M),7,204.5,2742.4333333333334
Northbound,A1(M),8,203.9,2862.6
Northbound,A1(M),9,250.46666666666667,2463.9333333333334
Northbound,A1(M),10,259.8,2403.866666666667
Northbound,A1(M),11,277.2,2545.3333333333335
Northbound,A1(M),12,271.8666666666667,2694.0
Northbound,A1(M),13,283.3,2844.6666666666665
Northbound,A1(M),14,276.3666666666667,3038.5333333333333
Northbound,A1(M),15,251.3,3238.4
Northbound,A1(M),16,203.06666666666666,3590.0666666666666
Northbound,A1(M),17,164.7,3551.6
Northbound,A1(M),18,128.1,3224.866666666667
Northbound,A1(M),19,100.7,2497.9333333333334
Northbound,A1(M),20,78.9,1845.7
Northbound,A1(M),21,63.86666666666667,1298.4333333333334
Northbound,A1(M),22,59.86666666666667,1027.7666666666667
Northbound,A1(M),23,52.733333333333334,846.6666666666666
Northbound,A1023,0,30.033333333333335,362.23333333333335
Northbound,A1023,1,34.8,231.0
Northbound,A1023,2,34.03333333333333,156.0
Northbound,A1023,3,42.46666666666667,151.96666666666667
Northbound,A1023,4,79.23333333333333,234.2
Northbound,A1023,5,126.06666666666666,453.8666666666667
Northbound,A1023,6,159.26666666666668,1167.5666666666666
Northbound,A1023,7,185.23333333333332,1759.1333333333334
Northbound,A1023,8,161.4,1679.4
Northbound,A1023,9,176.86666666666667,1674.7
Northbound,A1023,10,205.96666666666667,1835.1333333333334
Northbound,A1023,11,219.93333333333334,1934.2333333333333
Northbound,A1023,12,230.7,1967.1666666666667
Northbound,A1023,13,230.26666666666668,2006.3
Northbound,A1023,14,218.7,2153.3
Northbound,A1023,15,187.53333333333333,2286.5666666666666
Northbound,A1023,16,142.96666666666667,2420.1666666666665
Northbound,A1023,17,127.4,2376.1666666666665
Northbound,A1023,18,105.23333333333333,2158.0
Northbound,A1023,19,86.06666666666666,1745.2
Northbound,A1023,20,58.86666666666667,1315.2333333333333
Northbound,A1023,21,48.333333333333336,977.8
Northbound,A1023,22,37.0,724.3
Northbound,A1023,23,28.933333333333334,515.1666666666666
Northbound,A1089,0,45.06666666666667,115.53333333333333
Northbound,A1089,1,40.833333333333336,93.3
Northbound,A1089,2,41.766666666666666,84.86666666666666
Northbound,A1089,3,52.96666666666667,98.16666666666667
Northbound,A1089,4,111.76666666666667,197.36666666666667
Northbound,A1089,5,196.16666666666666,630.0
Northbound,A1089,6,212.43333333333334,571.2666666666667
Northbound,A1089,7,220.2,630.1666666666666
Northbound,A1089,8,204.36666666666667,706.0666666666667
Northbound,A1089,9,206.6,717.0
Northbound,A1089,10,206.0,809.5
Northbound,A1089,11,211.36666666666667,856.3333333333334
Northbound,A1089,12,210.4,916.4
Northbound,A1089,13,206.63333333333333,939.5333333333333
Northbound,A1089,14,200.6,946.5
Northbound,A1089,15,180.23333333333332,934.3
Northbound,A1089,16,157.8,1066.8
Northbound,A1089,17,119.53333333333333,1105.5
Northbound,A1089,18,92.93333333333334,1085.6
Northbound,A1089,19,69.6,593.1
Northbound,A1089,20,55.6,418.23333333333335
Northbound,A1089,21,45.03333333333333,351.5
