Direction,Jct_to_Jct,Hour,HGV Volume,Total Volume
Clockwise,Dartford QEII,0,174.43333333333334,793.9666666666667
Clockwise,Dartford QEII,1,196.63333333333333,647.1666666666666
Clockwise,Dartford QEII,2,205.83333333333334,565.0333333333333
Clockwise,Dartford QEII,3,248.4,654.4333333333333
Clockwise,Dartford QEII,4,392.26666666666665,992.1666666666666
Clockwise,Dartford QEII,5,672.7333333333333,2428.5
Clockwise,Dartford QEII,6,853.5,3745.233333333333
Clockwise,Dartford QEII,7,778.8,3739.4666666666667
Clockwise,Dartford QEII,8,679.1,3576.3333333333335
Clockwise,Dartford QEII,9,665.1666666666666,3614.9
Clockwise,Dartford QEII,10,700.7666666666667,3935.133333333333
Clockwise,Dartford QEII,11,705.4333333333333,3914.9333333333334
Clockwise,Dartford QEII,12,705.8333333333334,3831.266666666667
Clockwise,Dartford QEII,13,705.4,3824.4333333333334
Clockwise,Dartford QEII,14,677.8333333333334,3929.9666666666667
Clockwise,Dartford QEII,15,617.2,4134.4
Clockwise,Dartford QEII,16,517.5333333333333,4342.433333333333
Clockwise,Dartford QEII,17,441.6333333333333,4249.8
Clockwise,Dartford QEII,18,414.46666666666664,3791.9333333333334
Clockwise,Dartford QEII,19,358.8666666666667,2986.0333333333333
Clockwise,Dartford QEII,20,268.96666666666664,2137.266666666667
Clockwise,Dartford QEII,21,234.3,1585.6666666666667
Clockwise,Dartford QEII,22,199.9,1393.7
Clockwise,Dartford QEII,23,169.03333333333333,1024.9666666666667
Clockwise,J1-2,0,234.13333333333333,1015.1333333333333
Clockwise,J1-2,1,250.36666666666667,799.9
Clockwise,J1-2,2,261.1,708.2
Clockwise,J1-2,3,311.1666666666667,815.5666666666667
Clockwise,J1-2,4,492.53333333333336,1179.6333333333334
Clockwise,J1-2,5,870.7333333333333,2804.6
Clockwise,J1-2,6,1175.6666666666667,4539.066666666667
Clockwise,J1-2,7,1139.9666666666667,4759.266666666666
Clockwise,J1-2,8,949.2333333333333,4391.9
Clockwise,J1-2,9,932.9333333333333,4430.2
Clockwise,J1-2,10,979.2333333333333,4701.9
Clockwise,J1-2,11,953.9666666666667,4779.7
Clockwise,J1-2,12,898.9,4716.7
Clockwise,J1-2,13,875.4,4777.2
Clockwise,J1-2,14,849.5,5032.066666666667
Clockwise,J1-2,15,820.8666666666667,5083.533333333334
Clockwise,J1-2,16,866.4666666666667,5584.133333333333
Clockwise,J1-2,17,870.4666666666667,5618.5
Clockwise,J1-2,18,640.0,4759.933333333333
Clockwise,J1-2,19,498.6333333333333,3632.1666666666665
Clockwise,J1-2,20,393.3,2755.6666666666665
Clockwise,J1-2,21,321.7,2067.4333333333334
Clockwise,J1-2,22,266.73333333333335,1870.8666666666666
Clockwise,J1-2,23,236.53333333333333,1303.0666666666666
Clockwise,J11-12,0,165.06666666666666,1100.7
Clockwise,J11-12,1,167.73333333333332,815.6
Clockwise,J11-12,2,173.1,662.0
Clockwise,J11-12,3,196.56666666666666,719.9333333333333
Clockwise,J11-12,4,266.6,1213.7
Clockwise,J11-12,5,453.1666666666667,2878.733333333333
Clockwise,J11-12,6,601.4,5709.2
Clockwise,J11-12,7,551.5,5908.166666666667
Clockwise,J11-12,8,588.0333333333333,5924.3
Clockwise,J11-12,9,709.4333333333333,6224.3
Clockwise,J11-12,10,742.9,6286.166666666667
Clockwise,J11-12,11,744.9666666666667,6182.366666666667
Clockwise,J11-12,12,747.3666666666667,5953.966666666666
Clockwise,J11-12,13,782.9666666666667,5978.766666666666
Clockwise,J11-12,14,716.4333333333333,6025.566666666667
Clockwise,J11-12,15,605.6666666666666,5952.833333333333
Clockwise,J11-12,16,478.6,6003.833333333333
Clockwise,J11-12,17,422.1333333333333,5986.833333333333
Clockwise,J11-12,18,421.2,5808.666666666667
Clockwise,J11-12,19,369.76666666666665,4950.2
Clockwise,J11-12,20,330.53333333333336,4025.1666666666665
Clockwise,J11-12,21,275.1666666666667,2880.6
Clockwise,J11-12,22,206.63333333333333,2132.9333333333334
Clockwise,J11-12,23,187.83333333333334,1585.9
Clockwise,J12-13,0,165.24137931034483,964.0
Clockwise,J12-13,1,163.27586206896552,695.9655172413793
Clockwise,J12-13,2,161.51724137931035,574.7586206896551
Clockwise,J12-13,3,193.06896551724137,729.9655172413793
Clockwise,J12-13,4,264.41379310344826,1411.344827586207
Clockwise,J12-13,5,425.44827586206895,3416.689655172414
Clockwise,J12-13,6,599.2068965517242,6405.103448275862
Clockwise,J12-13,7,568.9310344827586,6813.0344827586205
Clockwise,J12-13,8,585.8965517241379,6584.137931034483
Clockwise,J12-13,9,734.3103448275862,6664.379310344828
Clockwise,J12-13,10,776.3448275862069,6612.172413793103
Clockwise,J12-13,11,799.6896551724138,6534.3448275862065
Clockwise,J12-13,12,804.2758620689655,6197.758620689655
Clockwise,J12-13,13,809.6896551724138,5884.689655172414
Clockwise,J12-13,14,790.25,5767.75
Clockwise,J12-13,15,678.9642857142857,5495.928571428572
Clockwise,J12-13,16,560.0714285714286,5325.107142857143
Clockwise,J12-13,17,476.2142857142857,5115.285714285715
Clockwise,J12-13,18,437.4642857142857,5102.857142857143
Clockwise,J12-13,19,393.82142857142856,4619.142857142857
Clockwise,J12-13,20,369.75,3991.0
Clockwise,J12-13,21,286.0,2871.1428571428573
Clockwise,J12-13,22,209.35714285714286,2102.1785714285716
Clockwise,J12-13,23,186.60714285714286,1473.5357142857142
Clockwise,J13-14,0,180.73333333333332,1072.3333333333333
Clockwise,J13-14,1,176.9,768.1333333333333
Clockwise,J13-14,2,193.43333333333334,689.3333333333334
Clockwise,J13-14,3,253.56666666666666,1052.5666666666666
Clockwise,J13-14,4,409.7,2247.0333333333333
Clockwise,J13-14,5,643.9333333333333,4608.266666666666
Clockwise,J13-14,6,761.2,6589.033333333334
Clockwise,J13-14,7,747.7,6760.833333333333
Clockwise,J13-14,8,854.7666666666667,6822.333333333333
Clockwise,J13-14,9,941.3666666666667,6931.633333333333
Clockwise,J13-14,10,976.0666666666667,6921.6
Clockwise,J13-14,11,986.8666666666667,6673.333333333333
Clockwise,J13-14,12,982.5666666666667,6217.3
Clockwise,J13-14,13,954.8666666666667,6054.866666666667
Clockwise,J13-14,14,880.8,5686.266666666666
Clockwise,J13-14,15,764.8666666666667,5310.8
Clockwise,J13-14,16,646.3,5098.6
Clockwise,J13-14,17,598.0666666666667,5101.3
Clockwise,J13-14,18,573.6333333333333,5162.933333333333
Clockwise,J13-14,19,515.2666666666667,4905.4
Clockwise,J13-14,20,429.9,4302.433333333333
Clockwise,J13-14,21,321.0,3214.9333333333334
Clockwise,J13-14,22,239.4,2371.133333333333
Clockwise,J13-14,23,203.26666666666668,1688.9
Clockwise,J14-15,0,188.41666666666666,1159.4166666666667
Clockwise,J14-15,1,191.33333333333334,770.0833333333334
Clockwise,J14-15,2,184.41666666666666,618.0833333333334
Clockwise,J14-15,3,217.5,710.5833333333334
Clockwise,J14-15,4,302.75,1240.3333333333333
Clockwise,J14-15,5,479.8333333333333,3141.8333333333335
Clockwise,J14-15,6,757.9166666666666,6239.75
Clockwise,J14-15,7,750.75,6276.666666666667
Clockwise,J14-15,8,743.25,6245.666666666667
Clockwise,J14-15,9,786.5,6384.083333333333
Clockwise,J14-15,10,828.2307692307693,6279.692307692308
Clockwise,J14-15,11,924.7692307692307,6535.461538461538
Clockwise,J14-15,12,936.8461538461538,6198.615384615385
Clockwise,J14-15,13,912.3846153846154,5701.923076923077
Clockwise,J14-15,14,944.3333333333334,5824.0
Clockwise,J14-15,15,859.0,5480.833333333333
Clockwise,J14-15,16,662.6923076923077,5022.538461538462
Clockwise,J14-15,17,598.1538461538462,5056.615384615385
Clockwise,J14-15,18,609.1818181818181,5217.818181818182
Clockwise,J14-15,19,569.9090909090909,5274.0
Clockwise,J14-15,20,466.54545454545456,4868.0
Clockwise,J14-15,21,322.09090909090907,3717.818181818182
Clockwise,J14-15,22,238.0909090909091,2918.3636363636365
Clockwise,J14-15,23,210.36363636363637,2088.6363636363635
Clockwise,J15-16,0,226.5,1166.2666666666667
Clockwise,J15-16,1,212.1,734.1333333333333
Clockwise,J15-16,2,204.83333333333334,613.8
Clockwise,J15-16,3,228.66666666666666,695.8666666666667
Clockwise,J15-16,4,319.2,1012.5666666666667
Clockwise,J15-16,5,498.0,2186.133333333333
Clockwise,J15-16,6,809.0333333333333,4961.733333333334
Clockwise,J15-16,7,814.8666666666667,5895.733333333334
Clockwise,J15-16,8,878.7666666666667,6176.8
Clockwise,J15-16,9,981.5,6266.2
Clockwise,J15-16,10,1008.5,6517.9
Clockwise,J15-16,11,1033.6,6593.9
Clockwise,J15-16,12,1052.9666666666667,6606.133333333333
Clockwise,J15-16,13,1048.8333333333333,6709.9
Clockwise,J15-16,14,982.0,6656.033333333334
Clockwise,J15-16,15,882.6666666666666,6654.566666666667
Clockwise,J15-16,16,721.1,6661.666666666667
Clockwise,J15-16,17,636.5,6594.966666666666
Clockwise,J15-16,18,625.0,6568.433333333333
