Direction,Link Road,Hour,HGV Volume,Total Volume
Northbound,A1(M),0,41.58064516129032,364.4516129032258
Northbound,A1(M),1,45.86666666666667,217.6
Northbound,A1(M),2,40.83870967741935,173.90322580645162
Northbound,A1(M),3,44.0,155.06451612903226
Northbound,A1(M),4,57.064516129032256,200.3548387096774
Northbound,A1(M),5,86.19354838709677,441.7741935483871
Northbound,A1(M),6,164.48387096774192,1457.5806451612902
Northbound,A1(M),7,192.96774193548387,2742.483870967742
Northbound,A1(M),8,191.16129032258064,2792.6774193548385
Northbound,A1(M),9,248.48387096774192,2457.451612903226
Northbound,A1(M),10,255.96774193548387,2240.5806451612902
Northbound,A1(M),11,282.5806451612903,2475.1935483870966
Northbound,A1(M),12,280.7096774193548,2669.2258064516127
Northbound,A1(M),13,284.5483870967742,2810.967741935484
Northbound,A1(M),14,283.16129032258067,3062.8387096774195
Northbound,A1(M),15,261.2903225806452,3310.7096774193546
Northbound,A1(M),16,206.7741935483871,3780.7419354838707
Northbound,A1(M),17,150.80645161290323,3760.064516129032
Northbound,A1(M),18,115.2258064516129,3156.967741935484
Northbound,A1(M),19,88.0,2374.6774193548385
Northbound,A1(M),20,66.06451612903226,1615.225806451613
Northbound,A1(M),21,55.0,1162.516129032258
Northbound,A1(M),22,47.83870967741935,889.6451612903226
Northbound,A1(M),23,44.58064516129032,620.8064516129032
Northbound,A1023,0,37.69230769230769,322.7307692307692
Northbound,A1023,1,44.48,202.92
Northbound,A1023,2,42.65384615384615,158.26923076923077
Northbound,A1023,3,52.07692307692308,157.6153846153846
Northbound,A1023,4,77.07692307692308,214.34615384615384
Northbound,A1023,5,125.15384615384616,425.84615384615387
Northbound,A1023,6,168.53846153846155,1153.4615384615386
Northbound,A1023,7,194.19230769230768,1805.8076923076924
Northbound,A1023,8,164.42307692307693,1644.576923076923
Northbound,A1023,9,177.3846153846154,1557.6923076923076
Northbound,A1023,10,187.14814814814815,1618.962962962963
Northbound,A1023,11,223.44444444444446,1815.7777777777778
Northbound,A1023,12,242.22222222222223,1918.9259259259259
Northbound,A1023,13,237.07407407407408,1974.851851851852
Northbound,A1023,14,225.74074074074073,2093.222222222222
Northbound,A1023,15,191.8846153846154,2284.5
Northbound,A1023,16,140.3846153846154,2414.346153846154
Northbound,A1023,17,116.61538461538461,2409.8846153846152
Northbound,A1023,18,98.0,2154.653846153846
Northbound,A1023,19,84.88461538461539,1681.576923076923
Northbound,A1023,20,55.5,1231.3076923076924
Northbound,A1023,21,43.34615384615385,896.8076923076923
Northbound,A1023,22,35.61538461538461,665.2692307692307
Northbound,A1023,23,33.26923076923077,485.34615384615387
Northbound,A1089,0,44.7,109.8
Northbound,A1089,1,43.96551724137931,92.48275862068965
Northbound,A1089,2,44.53333333333333,90.56666666666666
Northbound,A1089,3,58.7,108.4
Northbound,A1089,4,116.63333333333334,198.43333333333334
Northbound,A1089,5,200.26666666666668,620.5666666666667
Northbound,A1089,6,231.2,589.9333333333333
Northbound,A1089,7,244.2,648.9666666666667
Northbound,A1089,8,215.16666666666666,697.0666666666667
Northbound,A1089,9,213.83333333333334,718.9
Northbound,A1089,10,211.93333333333334,822.3
Northbound,A1089,11,212.66666666666666,866.9333333333333
Northbound,A1089,12,227.96666666666667,937.9666666666667
Northbound,A1089,13,212.5,950.3666666666667
Northbound,A1089,14,205.93333333333334,973.4333333333333
Northbound,A1089,15,185.3,944.7666666666667
Northbound,A1089,16,155.63333333333333,1063.8666666666666
Northbound,A1089,17,119.03333333333333,1115.4666666666667
Northbound,A1089,18,95.16666666666667,1070.1
Northbound,A1089,19,70.86666666666666,576.1666666666666
Northbound,A1089,20,58.333333333333336,399.8333333333333
Northbound,A1089,21,49.56666666666667,336.4
Northbound,A1089,22,42.03333333333333,244.56666666666666
Northbound,A1089,23,48.266666666666666,159.46666666666667
Northbound,A21,0,21.8,118.43333333333334
Northbound,A21,1,20.82758620689655,75.79310344827586
Northbound,A21,2,19.4,69.96666666666667
Northbound,A21,3,22.533333333333335,98.7
Northbound,A21,4,42.3,219.93333333333334
Northbound,A21,5,73.63333333333334,691.8333333333334
Northbound,A21,6,98.83333333333333,1240.9333333333334
Northbound,A21,7,86.16666666666667,1469.4666666666667
Northbound,A21,8,98.26666666666667,1452.1333333333334
Northbound,A21,9,129.13333333333333,1436.3666666666666
Northbound,A21,10,120.36666666666666,1407.1
Northbound,A21,11,124.86666666666666,1412.2
Northbound,A21,12,125.16666666666667,1378.4333333333334
Northbound,A21,13,124.8,1358.3
Northbound,A21,14,116.4,1332.1
Northbound,A21,15,93.03333333333333,1456.2666666666667
Northbound,A21,16,77.2,1644.7333333333333
Northbound,A21,17,54.56666666666667,1588.8
Northbound,A21,18,36.766666666666666,1195.7
Northbound,A21,19,34.1,829.3
Northbound,A21,20,32.43333333333333,553.6666666666666
Northbound,A21,21,19.866666666666667,382.93333333333334
Northbound,A21,22,20.166666666666668,298.0
Northbound,A21,23,20.566666666666666,199.46666666666667
Northbound,A3,0,22.333333333333332,249.66666666666666
Northbound,A3,1,23.75862068965517,146.0
Northbound,A3,2,19.433333333333334,99.5
Northbound,A3,3,21.9,127.03333333333333
Northbound,A3,4,34.333333333333336,255.63333333333333
Northbound,A3,5,63.333333333333336,641.4666666666667
Northbound,A3,6,130.23333333333332,1823.5666666666666
Northbound,A3,7,143.26666666666668,2149.866666666667
Northbound,A3,8,169.53333333333333,2066.366666666667
Northbound,A3,9,181.73333333333332,2126.9
Northbound,A3,10,189.0,1990.4333333333334
Northbound,A3,11,191.0,1987.3666666666666
Northbound,A3,12,186.96666666666667,2054.8
Northbound,A3,13,192.93333333333334,2105.7
Northbound,A3,14,187.73333333333332,2098.4666666666667
Northbound,A3,15,168.6,2248.0
Northbound,A3,16,129.23333333333332,2613.133333333333
Northbound,A3,17,91.63333333333334,2691.5666666666666
Northbound,A3,18,62.46666666666667,2437.4333333333334
Northbound,A3,19,51.86666666666667,1758.7
Northbound,A3,20,37.8,1162.6666666666667
Northbound,A3,21,30.6,850.3666666666667
Northbound,A3,22,25.9,641.7666666666667
Northbound,A3,23,24.0,433.56666666666666
Northbound,A405,0,99.60714285714286,380.0357142857143
Northbound,A405,1,92.37037037037037,258.0740740740741
Northbound,A405,2,102.35714285714286,223.75
Northbound,A405,3,112.14285714285714,255.42857142857142
Northbound,A405,4,51.892857142857146,189.85714285714286
Northbound,A405,5,27.857142857142858,278.35714285714283
Northbound,A405,6,62.714285714285715,723.3214285714286
Northbound,A405,7,88.85714285714286,1478.0
Northbound,A405,8,115.46428571428571,1598.107142857143
Northbound,A405,9,108.67857142857143,1319.9285714285713
Northbound,A405,10,109.10714285714286,1298.892857142857
Northbound,A405,11,119.75,1433.357142857143
Northbound,A405,12,127.42857142857143,1600.0714285714287
Northbound,A405,13,142.92857142857142,1693.357142857143
Northbound,A405,14,134.71428571428572,1736.607142857143
Northbound,A405,15,130.17241379310346,1858.2068965517242
Northbound,A405,16,106.55172413793103,1976.1724137931035
Northbound,A405,17,77.48275862068965,1983.2413793103449
Northbound,A405,18,54.51724137931034,1663.8275862068965
Northbound,A405,19,31.964285714285715,1250.9642857142858
Northbound,A405,20,26.0,842.4285714285714
Northbound,A405,21,20.107142857142858,629.6428571428571
Northbound,A405,22,62.892857142857146,629.5357142857143
Northbound,A405,23,79.71428571428571,508.85714285714283
Northbound,M1 J1-2,0,58.96774193548387,429.61290322580646
Northbound,M1 J1-2,1,43.7,291.1333333333333
Northbound,M1 J1-2,2,46.58064516129032,237.83870967741936
Northbound,M1 J1-2,3,50.32258064516129,263.03225806451616
Northbound,M1 J1-2,4,62.645161290322584,326.741935483871
Northbound,M1 J1-2,5,76.61290322580645,424.64516129032256
Northbound,M1 J1-2,6,120.29032258064517,722.9032258064516
Northbound,M1 J1-2,7,168.61290322580646,1151.1290322580646
Northbound,M1 J1-2,8,190.09677419354838,1172.0967741935483
Northbound,M1 J1-2,9,212.93548387096774,976.2903225806451
Northbound,M1 J1-2,10,229.32258064516128,1010.8064516129032
Northbound,M1 J1-2,11,257.0967741935484,1197.0967741935483
Northbound,M1 J1-2,12,259.8709677419355,1357.6451612903227
Northbound,M1 J1-2,13,270.80645161290323,1515.967741935484
Northbound,M1 J1-2,14,277.93548387096774,1745.5806451612902
Northbound,M1 J1-2,15,298.0967741935484,2046.0967741935483
Northbound,M1 J1-2,16,288.03225806451616,2344.3225806451615
Northbound,M1 J1-2,17,239.41935483870967,2420.6129032258063
Northbound,M1 J1-2,18,186.74193548387098,2125.3870967741937
Northbound,M1 J1-2,19,119.61290322580645,1528.5806451612902
Northbound,M1 J1-2,20,93.38709677419355,1084.8387096774193
Northbound,M1 J1-2,21,74.03225806451613,883.9354838709677
Northbound,M1 J1-2,22,73.03225806451613,830.258064516129
Northbound,M1 J1-2,23,71.2258064516129,659.0
Northbound,M1 J2-4,0,67.7741935483871,664.1612903225806
Northbound,M1 J2-4,1,56.1,460.46666666666664
Northbound,M1 J2-4,2,54.903225806451616,363.258064516129
Northbound,M1 J2-4,3,58.354838709677416,400.19354838709677
Northbound,M1 J2-4,4,67.93548387096774,505.93548387096774
Northbound,M1 J2-4,5,75.29032258064517,682.6451612903226
Northbound,M1 J2-4,6,108.38709677419355,1181.5806451612902
Northbound,M1 J2-4,7,152.48387096774192,1923.2903225806451
Northbound,M1 J2-4,8,167.1290322580645,1957.4516129032259
Northbound,M1 J2-4,9,195.19354838709677,1593.483870967742
Northbound,M1 J2-4,10,207.90322580645162,1605.1612903225807
Northbound,M1 J2-4,11,230.70967741935485,1838.8387096774193
Northbound,M1 J2-4,12,237.70967741935485,2061.1935483870966
Northbound,M1 J2-4,13,241.8709677419355,2271.3870967741937
Northbound,M1 J2-4,14,240.74193548387098,2566.7096774193546
Northbound,M1 J2-4,15,231.90322580645162,2923.032258064516
Northbound,M1 J2-4,16,211.0,3364.3225806451615
Northbound,M1 J2-4,17,175.25806451612902,3464.4193548387098
Northbound,M1 J2-4,18,140.2258064516129,3060.7419354838707
Northbound,M1 J2-4,19,93.64516129032258,2240.8709677419356
Northbound,M1 J2-4,20,80.93548387096774,1606.9032258064517
Northbound,M1 J2-4,21,70.3225806451613,1327.3548387096773
Northbound,M1 J2-4,22,64.80645161290323,1235.1290322580646
Northbound,M1 J2-4,23,79.19354838709677,1009.1935483870968
Northbound,M1 J4-5,0,56.096774193548384,812.3225806451613
Northbound,M1 J4-5,1,48.36666666666667,549.0
Northbound,M1 J4-5,2,48.25806451612903,422.0
Northbound,M1 J4-5,3,49.45161290322581,457.1290322580645
Northbound,M1 J4-5,4,60.96774193548387,591.9032258064516
Northbound,M1 J4-5,5,65.35483870967742,853.5806451612904
Northbound,M1 J4-5,6,91.58064516129032,1637.0645161290322
Northbound,M1 J4-5,7,119.16129032258064,2565.7419354838707
Northbound,M1 J4-5,8,134.6451612903226,2613.1935483870966
Northbound,M1 J4-5,9,152.51612903225808,2115.8387096774195
Northbound,M1 J4-5,10,164.19354838709677,2082.548387096774
Northbound,M1 J4-5,11,180.51612903225808,2323.548387096774
Northbound,M1 J4-5,12,180.61290322580646,2557.4193548387098
Northbound,M1 J4-5,13,189.70967741935485,2843.8387096774195
Northbound,M1 J4-5,14,182.8709677419355,3166.7096774193546
Northbound,M1 J4-5,15,173.3548387096774,3560.3225806451615
Northbound,M1 J4-5,16,156.0,4074.5806451612902
Northbound,M1 J4-5,17,127.58064516129032,4160.741935483871
Northbound,M1 J4-5,18,102.41935483870968,3727.6451612903224
Northbound,M1 J4-5,19,70.96774193548387,2830.1290322580644
Northbound,M1 J4-5,20,60.45161290322581,2041.7096774193549
Northbound,M1 J4-5,21,58.806451612903224,1670.3225806451612
Northbound,M1 J4-5,22,55.774193548387096,1533.1612903225807
Northbound,M1 J4-5,23,62.03225806451613,1235.4516129032259
Northbound,M1 J5-6,0,64.6774193548387,702.1290322580645
Northbound,M1 J5-6,1,58.4,486.26666666666665
Northbound,M1 J5-6,2,55.096774193548384,369.258064516129
Northbound,M1 J5-6,3,56.41935483870968,429.8709677419355
Northbound,M1 J5-6,4,72.61290322580645,623.6774193548387
Northbound,M1 J5-6,5,80.03225806451613,876.1935483870968
Northbound,M1 J5-6,6,147.48387096774192,1648.1612903225807
Northbound,M1 J5-6,7,168.8709677419355,2464.6451612903224
Northbound,M1 J5-6,8,177.90322580645162,2493.2580645161293
Northbound,M1 J5-6,9,209.2258064516129,2155.3548387096776
Northbound,M1 J5-6,10,212.3548387096774,2137.9032258064517
Northbound,M1 J5-6,11,234.66666666666666,2466.233333333333
Northbound,M1 J5-6,12,238.1,2739.233333333333
Northbound,M1 J5-6,13,258.03333333333336,3008.4333333333334
Northbound,M1 J5-6,14,252.32258064516128,3294.2580645161293
Northbound,M1 J5-6,15,238.7741935483871,3748.4193548387098
Northbound,M1 J5-6,16,229.58064516129033,4307.870967741936
Northbound,M1 J5-6,17,218.8709677419355,4261.612903225807
Northbound,M1 J5-6,18,175.5483870967742,3773.7419354838707
Northbound,M1 J5-6,19,105.90322580645162,2833.7741935483873
Northbound,M1 J5-6,20,77.3225806451613,2071.967741935484
Northbound,M1 J5-6,21,68.96774193548387,1621.2903225806451
Northbound,M1 J5-6,22,65.70967741935483,1417.7096774193549
Northbound,M1 J5-6,23,69.87096774193549,1095.0967741935483
Northbound,M1 J6-6a,0,84.80645161290323,632.8709677419355
Northbound,M1 J6-6a,1,78.0,444.5
Northbound,M1 J6-6a,2,72.61290322580645,346.1290322580645
Northbound,M1 J6-6a,3,75.03225806451613,395.3225806451613
Northbound,M1 J6-6a,4,97.80645161290323,586.9354838709677
Northbound,M1 J6-6a,5,116.48387096774194,817.516129032258
Northbound,M1 J6-6a,6,170.61290322580646,1441.0
Northbound,M1 J6-6a,7,190.96774193548387,2013.8387096774193
Northbound,M1 J6-6a,8,188.2258064516129,1981.5806451612902
Northbound,M1 J6-6a,9,232.5483870967742,1696.8387096774193
Northbound,M1 J6-6a,10,258.03225806451616,1685.7096774193549
Northbound,M1 J6-6a,11,288.03333333333336,1902.2
Northbound,M1 J6-6a,12,295.6666666666667,2078.5333333333333
Northbound,M1 J6-6a,13,315.1666666666667,2254.5
Northbound,M1 J6-6a,14,322.5483870967742,2478.3225806451615
Northbound,M1 J6-6a,15,312.7096774193548,2797.032258064516
Northbound,M1 J6-6a,16,290.0,3202.3225806451615
