Direction,Jct_to_Jct,Hour,HGV Volume,Total Volume
Clockwise,Dartford QEII,0,191.16666666666666,642.4333333333333
Clockwise,Dartford QEII,1,209.58620689655172,505.2413793103448
Clockwise,Dartford QEII,2,217.06666666666666,460.6666666666667
Clockwise,Dartford QEII,3,272.1333333333333,565.1333333333333
Clockwise,Dartford QEII,4,399.4,910.9333333333333
Clockwise,Dartford QEII,5,655.6,2274.0333333333333
Clockwise,Dartford QEII,6,845.7666666666667,3596.6666666666665
Clockwise,Dartford QEII,7,784.5333333333333,3553.266666666667
Clockwise,Dartford QEII,8,702.4,3364.9
Clockwise,Dartford QEII,9,677.9333333333333,3271.866666666667
Clockwise,Dartford QEII,10,701.0666666666667,3467.766666666667
Clockwise,Dartford QEII,11,719.8333333333334,3519.4
Clockwise,Dartford QEII,12,746.6333333333333,3498.0
Clockwise,Dartford QEII,13,736.7,3544.133333333333
Clockwise,Dartford QEII,14,707.3666666666667,3652.4
Clockwise,Dartford QEII,15,623.9333333333333,3796.0333333333333
Clockwise,Dartford QEII,16,515.7666666666667,4105.833333333333
Clockwise,Dartford QEII,17,471.8333333333333,4188.8
Clockwise,Dartford QEII,18,415.2,3525.266666666667
Clockwise,Dartford QEII,19,370.53333333333336,2729.4333333333334
Clockwise,Dartford QEII,20,291.53333333333336,1983.4333333333334
Clockwise,Dartford QEII,21,242.06666666666666,1446.3
Clockwise,Dartford QEII,22,218.46666666666667,1251.9333333333334
Clockwise,Dartford QEII,23,196.83333333333334,815.9
Clockwise,J1-2,0,237.80645161290323,839.0645161290323
Clockwise,J1-2,1,258.6333333333333,641.8
Clockwise,J1-2,2,265.8709677419355,580.7096774193549
Clockwise,J1-2,3,332.64516129032256,710.3225806451613
Clockwise,J1-2,4,519.0,1111.3548387096773
Clockwise,J1-2,5,871.258064516129,2693.1290322580644
Clockwise,J1-2,6,1239.3870967741937,4502.677419354839
Clockwise,J1-2,7,1168.032258064516,4675.1612903225805
Clockwise,J1-2,8,1005.8709677419355,4319.225806451613
Clockwise,J1-2,9,941.8709677419355,4095.548387096774
Clockwise,J1-2,10,910.1935483870968,4146.612903225807
Clockwise,J1-2,11,911.9032258064516,4253.451612903225
Clockwise,J1-2,12,923.2258064516129,4366.129032258064
Clockwise,J1-2,13,907.741935483871,4466.5161290322585
Clockwise,J1-2,14,849.8387096774194,4693.5161290322585
Clockwise,J1-2,15,830.0333333333333,4964.7
Clockwise,J1-2,16,786.9666666666667,5515.1
Clockwise,J1-2,17,813.0645161290323,5583.870967741936
Clockwise,J1-2,18,594.9677419354839,4530.5161290322585
Clockwise,J1-2,19,456.7096774193548,3370.935483870968
Clockwise,J1-2,20,420.16129032258067,2448.1290322580644
Clockwise,J1-2,21,310.48387096774195,1824.5806451612902
Clockwise,J1-2,22,255.0,1582.3548387096773
Clockwise,J1-2,23,248.03225806451613,1094.3548387096773
Clockwise,J11-12,0,179.67741935483872,906.9032258064516
Clockwise,J11-12,1,181.26666666666668,573.6666666666666
Clockwise,J11-12,2,185.5483870967742,455.4193548387097
Clockwise,J11-12,3,211.58064516129033,536.8064516129032
Clockwise,J11-12,4,280.19354838709677,991.6129032258065
Clockwise,J11-12,5,458.35483870967744,2571.7096774193546
Clockwise,J11-12,6,611.7096774193549,5620.225806451613
Clockwise,J11-12,7,535.483870967742,5819.4838709677415
Clockwise,J11-12,8,625.1290322580645,5864.8387096774195
Clockwise,J11-12,9,723.0322580645161,6011.4838709677415
Clockwise,J11-12,10,786.6774193548387,6202.290322580645
Clockwise,J11-12,11,821.0322580645161,6274.4838709677415
Clockwise,J11-12,12,775.7741935483871,6076.935483870968
Clockwise,J11-12,13,769.0,6099.354838709677
Clockwise,J11-12,14,708.3870967741935,5975.129032258064
Clockwise,J11-12,15,630.5483870967741,6189.903225806452
Clockwise,J11-12,16,489.38709677419354,6410.225806451613
Clockwise,J11-12,17,437.0967741935484,6344.387096774193
Clockwise,J11-12,18,376.51612903225805,5633.354838709677
Clockwise,J11-12,19,314.5483870967742,4411.903225806452
Clockwise,J11-12,20,304.3225806451613,3320.548387096774
Clockwise,J11-12,21,260.96774193548384,2372.516129032258
Clockwise,J11-12,22,189.67741935483872,1671.1612903225807
Clockwise,J11-12,23,181.29032258064515,1269.7096774193549
Clockwise,J12-13,0,180.2258064516129,815.8064516129032
Clockwise,J12-13,1,178.1,544.5333333333333
Clockwise,J12-13,2,179.09677419354838,456.9032258064516
Clockwise,J12-13,3,211.83870967741936,641.0
Clockwise,J12-13,4,275.258064516129,1288.774193548387
Clockwise,J12-13,5,430.5483870967742,3156.7419354838707
Clockwise,J12-13,6,591.8387096774194,6226.709677419355
Clockwise,J12-13,7,545.4193548387096,6573.096774193548
Clockwise,J12-13,8,606.5483870967741,6514.032258064516
Clockwise,J12-13,9,732.7096774193549,6420.677419354839
Clockwise,J12-13,10,803.6451612903226,6431.741935483871
Clockwise,J12-13,11,835.0,6402.709677419355
Clockwise,J12-13,12,806.2903225806451,6209.387096774193
Clockwise,J12-13,13,790.4516129032259,6194.354838709677
Clockwise,J12-13,14,738.8064516129032,5932.774193548387
Clockwise,J12-13,15,642.9032258064516,5979.645161290323
Clockwise,J12-13,16,499.4516129032258,5877.935483870968
Clockwise,J12-13,17,426.03225806451616,5547.1612903225805
Clockwise,J12-13,18,356.38709677419354,5141.064516129032
