Direction,Link Road,Hour,HGV Volume,Total Volume
Northbound,A1(M),0,52.354838709677416,405.2258064516129
Northbound,A1(M),1,55.064516129032256,245.06451612903226
Northbound,A1(M),2,51.12903225806452,185.6451612903226
Northbound,A1(M),3,54.03225806451613,179.74193548387098
Northbound,A1(M),4,56.87096774193548,210.06451612903226
Northbound,A1(M),5,86.48387096774194,448.80645161290323
Northbound,A1(M),6,156.93548387096774,1420.2903225806451
Northbound,A1(M),7,193.5483870967742,2720.5806451612902
Northbound,A1(M),8,203.32258064516128,2847.2580645161293
Northbound,A1(M),9,249.58064516129033,2455.032258064516
Northbound,A1(M),10,248.67741935483872,2360.3548387096776
Northbound,A1(M),11,274.0,2544.451612903226
Northbound,A1(M),12,274.80645161290323,2667.6129032258063
Northbound,A1(M),13,283.7096774193548,2773.7741935483873
Northbound,A1(M),14,275.8709677419355,2954.516129032258
Northbound,A1(M),15,248.74193548387098,3117.5806451612902
Northbound,A1(M),16,207.06451612903226,3525.6451612903224
Northbound,A1(M),17,159.74193548387098,3530.1935483870966
Northbound,A1(M),18,127.38709677419355,3250.6451612903224
Northbound,A1(M),19,98.03225806451613,2477.2580645161293
Northbound,A1(M),20,73.12903225806451,1687.1612903225807
Northbound,A1(M),21,60.516129032258064,1180.6451612903227
Northbound,A1(M),22,52.774193548387096,939.9032258064516
Northbound,A1(M),23,54.25806451612903,679.7741935483871
Northbound,A1023,0,41.38709677419355,350.2903225806452
Northbound,A1023,1,43.193548387096776,221.38709677419354
Northbound,A1023,2,44.193548387096776,168.7741935483871
Northbound,A1023,3,55.225806451612904,174.38709677419354
Northbound,A1023,4,82.80645161290323,233.67741935483872
Northbound,A1023,5,129.41935483870967,450.9032258064516
Northbound,A1023,6,172.74193548387098,1188.032258064516
Northbound,A1023,7,197.67741935483872,1773.0
Northbound,A1023,8,162.4516129032258,1641.2903225806451
Northbound,A1023,9,182.32258064516128,1687.9032258064517
Northbound,A1023,10,211.5483870967742,1836.7096774193549
Northbound,A1023,11,228.0,1930.9032258064517
Northbound,A1023,12,239.6451612903226,1992.8064516129032
Northbound,A1023,13,227.90322580645162,1962.7096774193549
Northbound,A1023,14,216.03225806451613,2070.935483870968
Northbound,A1023,15,196.93548387096774,2271.0967741935483
Northbound,A1023,16,152.70967741935485,2362.8064516129034
Northbound,A1023,17,124.58064516129032,2262.8064516129034
Northbound,A1023,18,98.96774193548387,1994.032258064516
Northbound,A1023,19,85.38709677419355,1663.1935483870968
Northbound,A1023,20,59.806451612903224,1231.7096774193549
Northbound,A1023,21,47.935483870967744,882.3225806451613
Northbound,A1023,22,37.645161290322584,686.3225806451613
Northbound,A1023,23,34.87096774193548,523.8064516129032
Northbound,A1089,0,41.064516129032256,106.87096774193549
Northbound,A1089,1,38.483870967741936,87.96774193548387
Northbound,A1089,2,40.354838709677416,83.96774193548387
Northbound,A1089,3,54.54838709677419,97.87096774193549
Northbound,A1089,4,117.16129032258064,194.70967741935485
Northbound,A1089,5,196.90322580645162,626.0967741935484
Northbound,A1089,6,224.32258064516128,573.5806451612904
Northbound,A1089,7,227.96774193548387,624.0
Northbound,A1089,8,208.61290322580646,692.483870967742
Northbound,A1089,9,207.16129032258064,718.9032258064516
Northbound,A1089,10,211.4516129032258,805.7096774193549
Northbound,A1089,11,217.19354838709677,860.3225806451613
Northbound,A1089,12,223.48387096774192,940.9032258064516
Northbound,A1089,13,209.51612903225808,952.6451612903226
Northbound,A1089,14,211.32258064516128,960.1935483870968
Northbound,A1089,15,186.4516129032258,943.258064516129
Northbound,A1089,16,159.29032258064515,1058.3225806451612
Northbound,A1089,17,120.0,1109.3225806451612
Northbound,A1089,18,97.54838709677419,1059.6451612903227
Northbound,A1089,19,68.61290322580645,580.8064516129032
Northbound,A1089,20,63.483870967741936,417.06451612903226
Northbound,A1089,21,47.38709677419355,354.83870967741933
Northbound,A1089,22,38.38709677419355,245.25806451612902
Northbound,A1089,23,42.41935483870968,155.32258064516128
Northbound,A21,0,14.483870967741936,108.41935483870968
Northbound,A21,1,15.32258064516129,76.54838709677419
Northbound,A21,2,13.419354838709678,70.6774193548387
Northbound,A21,3,16.451612903225808,101.83870967741936
Northbound,A21,4,39.25806451612903,221.25806451612902
Northbound,A21,5,81.54838709677419,711.9032258064516
Northbound,A21,6,98.03225806451613,1247.0967741935483
Northbound,A21,7,88.64516129032258,1476.032258064516
Northbound,A21,8,105.64516129032258,1480.032258064516
Northbound,A21,9,133.4516129032258,1502.0967741935483
Northbound,A21,10,127.90322580645162,1464.516129032258
Northbound,A21,11,130.32258064516128,1451.0645161290322
Northbound,A21,12,130.80645161290323,1399.1612903225807
Northbound,A21,13,129.1290322580645,1363.741935483871
Northbound,A21,14,121.03225806451613,1385.741935483871
Northbound,A21,15,98.70967741935483,1519.774193548387
Northbound,A21,16,84.7741935483871,1710.741935483871
Northbound,A21,17,59.38709677419355,1658.8709677419354
Northbound,A21,18,46.32258064516129,1279.483870967742
Northbound,A21,19,41.0,892.0
