Direction,Jct_to_Jct,Hour,HGV Volume,Total Volume
Clockwise,Dartford QEII,0,169.8709677419355,715.9032258064516
Clockwise,Dartford QEII,1,190.58064516129033,554.0
Clockwise,Dartford QEII,2,199.70967741935485,488.51612903225805
Clockwise,Dartford QEII,3,236.83870967741936,576.8387096774194
Clockwise,Dartford QEII,4,385.0,936.3225806451613
Clockwise,Dartford QEII,5,661.6774193548387,2325.483870967742
Clockwise,Dartford QEII,6,876.741935483871,3707.1290322580644
Clockwise,Dartford QEII,7,791.6451612903226,3716.1935483870966
Clockwise,Dartford QEII,8,689.5806451612904,3490.2903225806454
Clockwise,Dartford QEII,9,689.3870967741935,3606.8387096774195
Clockwise,Dartford QEII,10,699.1612903225806,3816.4193548387098
Clockwise,Dartford QEII,11,737.6129032258065,3906.032258064516
Clockwise,Dartford QEII,12,726.4516129032259,3831.0967741935483
Clockwise,Dartford QEII,13,719.1935483870968,3759.516129032258
Clockwise,Dartford QEII,14,661.5483870967741,3723.1935483870966
Clockwise,Dartford QEII,15,649.7741935483871,4015.7096774193546
Clockwise,Dartford QEII,16,539.3870967741935,4395.580645161291
Clockwise,Dartford QEII,17,460.48387096774195,4294.903225806452
Clockwise,Dartford QEII,18,411.48387096774195,3668.5806451612902
Clockwise,Dartford QEII,19,367.258064516129,2932.0967741935483
Clockwise,Dartford QEII,20,276.64516129032256,2082.8387096774195
Clockwise,Dartford QEII,21,236.70967741935485,1530.9032258064517
Clockwise,Dartford QEII,22,195.48387096774192,1291.774193548387
Clockwise,Dartford QEII,23,174.6451612903226,930.0645161290323
Clockwise,J1-2,0,219.93548387096774,885.6129032258065
Clockwise,J1-2,1,243.70967741935485,695.3870967741935
Clockwise,J1-2,2,251.5483870967742,613.4193548387096
Clockwise,J1-2,3,298.80645161290323,744.3870967741935
Clockwise,J1-2,4,499.83870967741933,1133.483870967742
Clockwise,J1-2,5,867.1290322580645,2728.451612903226
Clockwise,J1-2,6,1216.9032258064517,4551.451612903225
Clockwise,J1-2,7,1130.5806451612902,4762.580645161291
Clockwise,J1-2,8,956.9032258064516,4356.451612903225
Clockwise,J1-2,9,905.0322580645161,4356.096774193548
Clockwise,J1-2,10,889.4333333333333,4528.766666666666
Clockwise,J1-2,11,948.6333333333333,4696.033333333334
Clockwise,J1-2,12,920.4,4716.6
Clockwise,J1-2,13,879.9333333333333,4680.7
Clockwise,J1-2,14,831.5333333333333,4828.733333333334
Clockwise,J1-2,15,817.6666666666666,5039.0
Clockwise,J1-2,16,815.8666666666667,5592.666666666667
Clockwise,J1-2,17,766.1666666666666,5672.7
Clockwise,J1-2,18,557.3225806451613,4560.741935483871
Clockwise,J1-2,19,459.9032258064516,3644.5806451612902
Clockwise,J1-2,20,357.4193548387097,2601.1290322580644
Clockwise,J1-2,21,311.2258064516129,1983.1290322580646
Clockwise,J1-2,22,248.93548387096774,1692.2903225806451
Clockwise,J1-2,23,241.48387096774192,1196.7096774193549
Clockwise,J11-12,0,165.29032258064515,964.6774193548387
Clockwise,J11-12,1,171.41935483870967,676.2903225806451
Clockwise,J11-12,2,178.5483870967742,551.8387096774194
Clockwise,J11-12,3,199.93548387096774,635.3225806451613
Clockwise,J11-12,4,277.03225806451616,1109.3870967741937
Clockwise,J11-12,5,462.38709677419354,2791.7096774193546
Clockwise,J11-12,6,606.8064516129032,5575.419354838709
Clockwise,J11-12,7,553.8387096774194,5889.806451612903
Clockwise,J11-12,8,612.6129032258065,6016.612903225807
Clockwise,J11-12,9,731.3225806451613,6238.322580645161
Clockwise,J11-12,10,753.5,6295.966666666666
Clockwise,J11-12,11,743.2333333333333,6173.766666666666
Clockwise,J11-12,12,752.4666666666667,6068.866666666667
Clockwise,J11-12,13,776.1666666666666,6077.133333333333
Clockwise,J11-12,14,702.7,5980.333333333333
Clockwise,J11-12,15,624.6666666666666,6082.4
Clockwise,J11-12,16,495.9,6160.233333333334
Clockwise,J11-12,17,427.0,6164.566666666667
Clockwise,J11-12,18,388.2903225806452,5686.0
Clockwise,J11-12,19,351.38709677419354,4736.870967741936
Clockwise,J11-12,20,326.6774193548387,3644.7741935483873
Clockwise,J11-12,21,282.6774193548387,2580.8387096774195
Clockwise,J11-12,22,215.70967741935485,1906.3548387096773
Clockwise,J11-12,23,180.51612903225808,1350.7096774193549
Clockwise,J12-13,0,159.0,826.6129032258065
Clockwise,J12-13,1,153.83870967741936,579.5806451612904
Clockwise,J12-13,2,162.83870967741936,491.5806451612903
Clockwise,J12-13,3,192.74193548387098,692.741935483871
Clockwise,J12-13,4,264.19354838709677,1356.9354838709678
Clockwise,J12-13,5,425.5483870967742,3338.6774193548385
Clockwise,J12-13,6,593.7741935483871,6192.709677419355
Clockwise,J12-13,7,555.8387096774194,6668.677419354839
Clockwise,J12-13,8,620.1290322580645,6716.645161290323
Clockwise,J12-13,9,736.5806451612904,6590.258064516129
Clockwise,J12-13,10,775.4666666666667,6522.233333333334
Clockwise,J12-13,11,767.6666666666666,6400.766666666666
Clockwise,J12-13,12,775.0666666666667,6237.333333333333
Clockwise,J12-13,13,800.6666666666666,6137.4
Clockwise,J12-13,14,727.6333333333333,5772.066666666667
Clockwise,J12-13,15,654.4666666666667,5800.533333333334
Clockwise,J12-13,16,521.3,5653.033333333334
Clockwise,J12-13,17,435.8666666666667,5490.333333333333
Clockwise,J12-13,18,382.8709677419355,5236.032258064516
Clockwise,J12-13,19,362.96774193548384,4638.387096774193
Clockwise,J12-13,20,351.4193548387097,3695.8387096774195
Clockwise,J12-13,21,285.6774193548387,2684.1935483870966
Clockwise,J12-13,22,214.1290322580645,1929.8064516129032
Clockwise,J12-13,23,185.41935483870967,1290.4193548387098
Clockwise,J13-14,0,151.29032258064515,810.2903225806451
Clockwise,J13-14,1,141.48387096774192,563.9354838709677
Clockwise,J13-14,2,148.3548387096774,460.9032258064516
Clockwise,J13-14,3,181.25806451612902,661.0
Clockwise,J13-14,4,262.7741935483871,1378.3225806451612
Clockwise,J13-14,5,447.64516129032256,3383.1935483870966
Clockwise,J13-14,6,684.2903225806451,6315.0
Clockwise,J13-14,7,647.5483870967741,6696.387096774193
Clockwise,J13-14,8,708.6774193548387,6718.387096774193
Clockwise,J13-14,9,846.0645161290323,6796.451612903225
Clockwise,J13-14,10,885.0666666666667,6658.933333333333
Clockwise,J13-14,11,892.6333333333333,6585.566666666667
Clockwise,J13-14,12,878.2,6278.733333333334
Clockwise,J13-14,13,907.3,6202.233333333334
Clockwise,J13-14,14,831.1666666666666,5796.533333333334
Clockwise,J13-14,15,759.7666666666667,5752.566666666667
Clockwise,J13-14,16,639.4333333333333,5552.833333333333
Clockwise,J13-14,17,561.3333333333334,5490.833333333333
Clockwise,J13-14,18,487.35483870967744,5318.935483870968
Clockwise,J13-14,19,433.80645161290323,4921.193548387097
Clockwise,J13-14,20,393.6774193548387,3966.2258064516127
Clockwise,J13-14,21,306.83870967741933,2878.032258064516
Clockwise,J13-14,22,210.74193548387098,1996.2903225806451
Clockwise,J13-14,23,178.3548387096774,1296.7096774193549
Clockwise,J14-15,0,120.48387096774194,740.258064516129
Clockwise,J14-15,1,112.29032258064517,504.9032258064516
Clockwise,J14-15,2,126.29032258064517,417.51612903225805
Clockwise,J14-15,3,156.5483870967742,506.16129032258067
Clockwise,J14-15,4,267.5483870967742,1041.032258064516
Clockwise,J14-15,5,455.8709677419355,2842.483870967742
Clockwise,J14-15,6,696.7741935483871,5764.322580645161
Clockwise,J14-15,7,699.1612903225806,6101.4838709677415
Clockwise,J14-15,8,724.0967741935484,6012.1612903225805
Clockwise,J14-15,9,807.2903225806451,6333.387096774193
Clockwise,J14-15,10,846.8666666666667,6531.266666666666
Clockwise,J14-15,11,867.4666666666667,6457.6
Clockwise,J14-15,12,852.1333333333333,6198.366666666667
Clockwise,J14-15,13,900.8,6168.466666666666
Clockwise,J14-15,14,828.4333333333333,6040.0
Clockwise,J14-15,15,759.5333333333333,5915.533333333334
Clockwise,J14-15,16,625.1666666666666,5757.6
Clockwise,J14-15,17,562.6,5780.933333333333
Clockwise,J14-15,18,522.9032258064516,5629.129032258064
Clockwise,J14-15,19,461.7096774193548,5368.870967741936
Clockwise,J14-15,20,402.0,4793.967741935484
Clockwise,J14-15,21,303.83870967741933,3524.1290322580644
Clockwise,J14-15,22,192.1290322580645,2441.6451612903224
Clockwise,J14-15,23,152.0,1474.3870967741937
Clockwise,J15-16,0,213.09677419354838,918.516129032258
Clockwise,J15-16,1,193.5483870967742,604.6774193548387
Clockwise,J15-16,2,198.16129032258064,518.0
Clockwise,J15-16,3,219.38709677419354,632.516129032258
Clockwise,J15-16,4,320.83870967741933,956.1290322580645
Clockwise,J15-16,5,508.03225806451616,2118.7419354838707
Clockwise,J15-16,6,823.3870967741935,4899.774193548387
Clockwise,J15-16,7,824.4193548387096,5943.354838709677
Clockwise,J15-16,8,882.7096774193549,6016.677419354839
Clockwise,J15-16,9,989.7096774193549,6153.387096774193
Clockwise,J15-16,10,1018.4333333333333,6448.233333333334
Clockwise,J15-16,11,1050.1,6571.433333333333
Clockwise,J15-16,12,1040.3666666666666,6561.8
Clockwise,J15-16,13,1034.8333333333333,6648.166666666667
Clockwise,J15-16,14,991.1666666666666,6617.866666666667
Clockwise,J15-16,15,893.7666666666667,6688.266666666666
Clockwise,J15-16,16,736.4666666666667,6646.0
Clockwise,J15-16,17,665.4,6739.5
Clockwise,J15-16,18,619.5806451612904,6529.1612903225805
Clockwise,J15-16,19,605.7741935483871,5932.290322580645
Clockwise,J15-16,20,557.0967741935484,4655.354838709677
Clockwise,J15-16,21,430.741935483871,3335.3870967741937
Clockwise,J15-16,22,283.4193548387097,2415.3225806451615
Clockwise,J15-16,23,252.09677419354838,1679.8387096774193
Clockwise,J16-17,0,184.80645161290323,813.1290322580645
Clockwise,J16-17,1,169.4516129032258,538.4516129032259
Clockwise,J16-17,2,168.2258064516129,483.5483870967742
Clockwise,J16-17,3,179.03225806451613,616.0645161290323
Clockwise,J16-17,4,264.9032258064516,872.5806451612904
Clockwise,J16-17,5,410.48387096774195,1691.5483870967741
Clockwise,J16-17,6,709.741935483871,3933.3548387096776
Clockwise,J16-17,7,753.1290322580645,5107.8387096774195
Clockwise,J16-17,8,740.8709677419355,4892.225806451613
Clockwise,J16-17,9,823.8387096774194,4974.4838709677415
Clockwise,J16-17,10,871.3666666666667,5211.433333333333
Clockwise,J16-17,11,916.4,5440.266666666666
Clockwise,J16-17,12,950.5,5637.2
Clockwise,J16-17,13,960.8666666666667,5747.5
Clockwise,J16-17,14,924.8333333333334,5834.6
Clockwise,J16-17,15,836.1,6127.9
Clockwise,J16-17,16,669.9,6151.666666666667
Clockwise,J16-17,17,543.2,6084.0
Clockwise,J16-17,18,471.96774193548384,5753.451612903225
Clockwise,J16-17,19,432.83870967741933,4929.451612903225
Clockwise,J16-17,20,381.7741935483871,3704.451612903226
Clockwise,J16-17,21,289.7096774193548,2648.3870967741937
Clockwise,J16-17,22,215.25806451612902,1918.9354838709678
Clockwise,J16-17,23,200.70967741935485,1354.032258064516
Clockwise,J17-18,0,173.3548387096774,783.5483870967741
Clockwise,J17-18,1,157.09677419354838,491.1290322580645
Clockwise,J17-18,2,158.51612903225808,433.3225806451613
Clockwise,J17-18,3,161.90322580645162,546.4516129032259
Clockwise,J17-18,4,244.19354838709677,799.7096774193549
Clockwise,J17-18,5,373.06451612903226,1529.741935483871
Clockwise,J17-18,6,616.0967741935484,3604.6129032258063
Clockwise,J17-18,7,699.0322580645161,5124.967741935484
Clockwise,J17-18,8,690.9677419354839,5071.709677419355
Clockwise,J17-18,9,761.6451612903226,5004.451612903225
Clockwise,J17-18,10,800.2,5211.7
Clockwise,J17-18,11,849.3,5431.2
Clockwise,J17-18,12,881.4666666666667,5655.166666666667
Clockwise,J17-18,13,888.4333333333333,5782.666666666667
Clockwise,J17-18,14,844.1666666666666,5838.833333333333
Clockwise,J17-18,15,749.6666666666666,6114.9
Clockwise,J17-18,16,595.8275862068965,6325.448275862069
Clockwise,J17-18,17,486.6551724137931,6426.172413793103
Clockwise,J17-18,18,420.1666666666667,5905.466666666666
Clockwise,J17-18,19,386.7096774193548,4912.935483870968
