Direction,Jct_to_Jct,Hour,HGV Volume,Total Volume
Clockwise,Dartford QEII,0,146.58064516129033,525.1935483870968
Clockwise,Dartford QEII,1,164.29032258064515,444.51612903225805
Clockwise,Dartford QEII,2,175.6451612903226,391.2258064516129
Clockwise,Dartford QEII,3,227.5483870967742,494.7096774193548
Clockwise,Dartford QEII,4,369.35483870967744,841.0645161290323
Clockwise,Dartford QEII,5,696.3225806451613,2355.9032258064517
Clockwise,Dartford QEII,6,881.483870967742,3783.548387096774
Clockwise,Dartford QEII,7,783.483870967742,3678.4193548387098
Clockwise,Dartford QEII,8,688.516129032258,3412.9032258064517
Clockwise,Dartford QEII,9,736.516129032258,3561.548387096774
Clockwise,Dartford QEII,10,747.7096774193549,3660.6451612903224
Clockwise,Dartford QEII,11,759.8387096774194,3696.2903225806454
Clockwise,Dartford QEII,12,772.6774193548387,3698.9032258064517
Clockwise,Dartford QEII,13,778.1612903225806,3767.7096774193546
Clockwise,Dartford QEII,14,755.9032258064516,3925.8709677419356
Clockwise,Dartford QEII,15,704.483870967742,4223.419354838709
Clockwise,Dartford QEII,16,584.5483870967741,4516.354838709677
Clockwise,Dartford QEII,17,482.741935483871,4253.0
Clockwise,Dartford QEII,18,439.1290322580645,3706.5806451612902
Clockwise,Dartford QEII,19,403.0967741935484,2872.8709677419356
Clockwise,Dartford QEII,20,324.7741935483871,2135.1612903225805
Clockwise,Dartford QEII,21,248.32258064516128,1471.6774193548388
Clockwise,Dartford QEII,22,198.61290322580646,1173.1935483870968
Clockwise,Dartford QEII,23,160.8709677419355,747.2258064516129
Clockwise,J1-2,0,222.06451612903226,821.9677419354839
Clockwise,J1-2,1,241.0,670.741935483871
Clockwise,J1-2,2,252.1290322580645,601.1612903225806
Clockwise,J1-2,3,322.0967741935484,729.0
Clockwise,J1-2,4,510.38709677419354,1095.8387096774193
Clockwise,J1-2,5,891.5806451612904,2731.7419354838707
Clockwise,J1-2,6,1257.1612903225807,4622.645161290323
Clockwise,J1-2,7,1222.5806451612902,4858.548387096775
Clockwise,J1-2,8,984.4193548387096,4360.548387096775
Clockwise,J1-2,9,996.4516129032259,4371.1612903225805
Clockwise,J1-2,10,946.1612903225806,4316.258064516129
Clockwise,J1-2,11,964.8709677419355,4447.967741935484
Clockwise,J1-2,12,957.9677419354839,4560.580645161291
Clockwise,J1-2,13,941.7741935483871,4657.4838709677415
Clockwise,J1-2,14,947.3548387096774,5046.741935483871
Clockwise,J1-2,15,923.258064516129,5397.709677419355
Clockwise,J1-2,16,915.0322580645161,5887.387096774193
Clockwise,J1-2,17,880.0967741935484,5730.419354838709
Clockwise,J1-2,18,719.6451612903226,4791.129032258064
Clockwise,J1-2,19,589.0645161290323,3626.1290322580644
Clockwise,J1-2,20,441.4516129032258,2664.451612903226
Clockwise,J1-2,21,317.83870967741933,1891.1290322580646
Clockwise,J1-2,22,259.6774193548387,1638.7096774193549
Clockwise,J1-2,23,238.7741935483871,1131.2903225806451
Clockwise,J11-12,0,168.03225806451613,878.1935483870968
Clockwise,J11-12,1,174.83870967741936,664.1935483870968
Clockwise,J11-12,2,178.83870967741936,541.5483870967741
Clockwise,J11-12,3,202.19354838709677,616.258064516129
Clockwise,J11-12,4,281.7741935483871,1085.258064516129
Clockwise,J11-12,5,485.19354838709677,2745.935483870968
Clockwise,J11-12,6,615.0645161290323,5691.225806451613
Clockwise,J11-12,7,565.8387096774194,5932.806451612903
Clockwise,J11-12,8,650.5483870967741,6086.225806451613
Clockwise,J11-12,9,782.1612903225806,6272.645161290323
Clockwise,J11-12,10,813.6774193548387,6355.225806451613
Clockwise,J11-12,11,799.258064516129,6206.709677419355
Clockwise,J11-12,12,802.1612903225806,6000.064516129032
Clockwise,J11-12,13,819.6774193548387,6012.419354838709
Clockwise,J11-12,14,757.1290322580645,6005.290322580645
Clockwise,J11-12,15,651.8709677419355,6244.451612903225
Clockwise,J11-12,16,508.83870967741933,6287.290322580645
Clockwise,J11-12,17,437.06451612903226,6141.032258064516
Clockwise,J11-12,18,401.3225806451613,5712.387096774193
Clockwise,J11-12,19,358.6774193548387,4636.258064516129
Clockwise,J11-12,20,349.9032258064516,3510.2258064516127
Clockwise,J11-12,21,291.9032258064516,2470.2903225806454
Clockwise,J11-12,22,175.96774193548387,1681.225806451613
Clockwise,J11-12,23,177.38709677419354,1249.9032258064517
