Direction,Link Road,Hour,HGV Volume,Total Volume
Northbound,A1(M),0,48.3,400.56666666666666
Northbound,A1(M),1,45.166666666666664,243.5
Northbound,A1(M),2,44.7,190.4
Northbound,A1(M),3,50.2,178.73333333333332
Northbound,A1(M),4,64.73333333333333,217.2
Northbound,A1(M),5,89.1,453.26666666666665
Northbound,A1(M),6,154.83333333333334,1421.3333333333333
Northbound,A1(M),7,200.0,2696.6
Northbound,A1(M),8,201.13333333333333,2861.766666666667
Northbound,A1(M),9,240.73333333333332,2466.6
Northbound,A1(M),10,252.5,2313.633333333333
Northbound,A1(M),11,275.8333333333333,2461.3333333333335
Northbound,A1(M),12,276.4,2632.9666666666667
Northbound,A1(M),13,290.7,2805.1666666666665
Northbound,A1(M),14,286.4,3041.3
Northbound,A1(M),15,269.1333333333333,3332.3333333333335
Northbound,A1(M),16,212.13333333333333,3722.5666666666666
Northbound,A1(M),17,164.8,3774.266666666667
Northbound,A1(M),18,126.33333333333333,3337.9333333333334
Northbound,A1(M),19,95.8,2510.233333333333
Northbound,A1(M),20,72.9,1720.3
Northbound,A1(M),21,57.9,1246.2666666666667
Northbound,A1(M),22,54.2,987.1666666666666
Northbound,A1(M),23,54.36666666666667,676.6
Northbound,A1023,0,32.5,291.8
Northbound,A1023,1,38.96666666666667,201.16666666666666
Northbound,A1023,2,38.2,151.66666666666666
Northbound,A1023,3,46.56666666666667,155.36666666666667
Northbound,A1023,4,83.23333333333333,239.03333333333333
Northbound,A1023,5,120.83333333333333,441.3666666666667
Northbound,A1023,6,161.1,1116.4
Northbound,A1023,7,180.63333333333333,1795.9
Northbound,A1023,8,163.5,1702.7333333333333
Northbound,A1023,9,167.66666666666666,1620.2666666666667
Northbound,A1023,10,196.9,1792.3
Northbound,A1023,11,217.46666666666667,1926.5333333333333
Northbound,A1023,12,228.33333333333334,1977.6333333333334
Northbound,A1023,13,228.9,1989.1666666666667
Northbound,A1023,14,224.13333333333333,2174.5
Northbound,A1023,15,197.86666666666667,2344.4
Northbound,A1023,16,157.73333333333332,2474.9
Northbound,A1023,17,129.53333333333333,2465.4666666666667
Northbound,A1023,18,105.8,2230.633333333333
Northbound,A1023,19,85.93333333333334,1760.5666666666666
Northbound,A1023,20,56.6,1333.8666666666666
Northbound,A1023,21,48.3,981.5
Northbound,A1023,22,39.333333333333336,695.4333333333333
Northbound,A1023,23,30.366666666666667,439.46666666666664
Northbound,A21,0,16.233333333333334,117.86666666666666
Northbound,A21,1,18.533333333333335,82.6
Northbound,A21,2,15.8,77.7
Northbound,A21,3,20.566666666666666,117.1
Northbound,A21,4,40.43333333333333,231.43333333333334
Northbound,A21,5,79.6,721.8
Northbound,A21,6,97.6,1251.5333333333333
Northbound,A21,7,86.26666666666667,1516.3
Northbound,A21,8,103.3,1534.7666666666667
Northbound,A21,9,131.0,1506.0333333333333
Northbound,A21,10,129.56666666666666,1478.6666666666667
Northbound,A21,11,127.6,1466.2666666666667
Northbound,A21,12,131.83333333333334,1420.4
Northbound,A21,13,131.96666666666667,1383.1
Northbound,A21,14,117.5,1343.1
Northbound,A21,15,100.76666666666667,1458.9666666666667
Northbound,A21,16,81.73333333333333,1689.5666666666666
Northbound,A21,17,58.766666666666666,1649.7
Northbound,A21,18,47.46666666666667,1308.6333333333334
Northbound,A21,19,42.06666666666667,919.5333333333333
Northbound,A21,20,35.3,645.2666666666667
Northbound,A21,21,26.433333333333334,451.06666666666666
Northbound,A21,22,19.3,327.1333333333333
Northbound,A21,23,18.7,198.93333333333334
Northbound,A3,0,33.5,302.1333333333333
Northbound,A3,1,30.4,189.33333333333334
Northbound,A3,2,28.6,143.93333333333334
Northbound,A3,3,34.7,186.7
Northbound,A3,4,34.9,273.1333333333333
Northbound,A3,5,63.6,648.4333333333333
Northbound,A3,6,129.63333333333333,1800.9666666666667
Northbound,A3,7,157.43333333333334,2183.6666666666665
Northbound,A3,8,169.4,2092.733333333333
Northbound,A3,9,191.13333333333333,2101.3333333333335
Northbound,A3,10,199.56666666666666,1993.3
Northbound,A3,11,195.5,1937.8666666666666
Northbound,A3,12,181.16666666666666,1995.0
Northbound,A3,13,192.9,2084.6666666666665
Northbound,A3,14,197.03333333333333,2133.766666666667
Northbound,A3,15,175.66666666666666,2287.9333333333334
Northbound,A3,16,133.1,2656.4333333333334
Northbound,A3,17,112.26666666666667,2728.8333333333335
Northbound,A3,18,80.86666666666666,2672.733333333333
Northbound,A3,19,63.833333333333336,2002.1
Northbound,A3,20,44.96666666666667,1427.1666666666667
Northbound,A3,21,38.43333333333333,1019.8666666666667
Northbound,A3,22,35.53333333333333,742.9666666666667
Northbound,A3,23,37.7,501.8
Northbound,A405,0,29.666666666666668,311.3333333333333
Northbound,A405,1,27.233333333333334,193.93333333333334
Northbound,A405,2,25.2,143.56666666666666
Northbound,A405,3,24.933333333333334,140.63333333333333
Northbound,A405,4,22.666666666666668,158.16666666666666
Northbound,A405,5,26.5,315.3666666666667
Northbound,A405,6,66.0,879.6666666666666
Northbound,A405,7,101.53333333333333,1764.9333333333334
Northbound,A405,8,137.06666666666666,1962.7333333333333
Northbound,A405,9,128.43333333333334,1599.3
Northbound,A405,10,125.93333333333334,1506.7
Northbound,A405,11,133.23333333333332,1664.6333333333334
Northbound,A405,12,135.9,1847.1
Northbound,A405,13,142.06666666666666,1923.4666666666667
Northbound,A405,14,138.86666666666667,2030.5333333333333
Northbound,A405,15,131.13333333333333,2257.133333333333
Northbound,A405,16,104.36666666666666,2363.4666666666667
Northbound,A405,17,82.16666666666667,2522.766666666667
Northbound,A405,18,64.36666666666666,2325.7
Northbound,A405,19,43.1,1661.6333333333334
Northbound,A405,20,29.366666666666667,1117.4
Northbound,A405,21,24.333333333333332,797.2
Northbound,A405,22,33.06666666666667,677.8
Northbound,A405,23,33.8,486.8333333333333
Northbound,M1 J1-2,0,56.43333333333333,474.56666666666666
Northbound,M1 J1-2,1,51.766666666666666,335.3333333333333
Northbound,M1 J1-2,2,46.4,259.96666666666664
Northbound,M1 J1-2,3,47.733333333333334,276.76666666666665
Northbound,M1 J1-2,4,60.13333333333333,336.96666666666664
Northbound,M1 J1-2,5,71.36666666666666,407.8666666666667
Northbound,M1 J1-2,6,123.2,755.0
Northbound,M1 J1-2,7,166.96666666666667,1183.3
Northbound,M1 J1-2,8,190.36666666666667,1198.4666666666667
Northbound,M1 J1-2,9,218.46666666666667,1009.4333333333333
Northbound,M1 J1-2,10,233.63333333333333,1053.7666666666667
Northbound,M1 J1-2,11,251.76666666666668,1202.2
Northbound,M1 J1-2,12,267.6333333333333,1380.8666666666666
Northbound,M1 J1-2,13,280.6,1537.8666666666666
Northbound,M1 J1-2,14,281.06666666666666,1732.2
Northbound,M1 J1-2,15,301.1,2011.2666666666667
Northbound,M1 J1-2,16,292.1333333333333,2329.6
Northbound,M1 J1-2,17,258.53333333333336,2433.9333333333334
