Direction,Jct_to_Jct,Hour,HGV Volume,Total Volume
Clockwise,Dartford QEII,0,175.93333333333334,704.8333333333334
Clockwise,Dartford QEII,1,183.23333333333332,572.4333333333333
Clockwise,Dartford QEII,2,202.6,552.3666666666667
Clockwise,Dartford QEII,3,238.0,628.1333333333333
Clockwise,Dartford QEII,4,343.6,892.5
Clockwise,Dartford QEII,5,620.9666666666667,2294.133333333333
Clockwise,Dartford QEII,6,827.9,3751.5333333333333
Clockwise,Dartford QEII,7,754.7333333333333,3707.9
Clockwise,Dartford QEII,8,693.9666666666667,3543.2
Clockwise,Dartford QEII,9,677.6,3591.7
Clockwise,Dartford QEII,10,707.0666666666667,3827.633333333333
Clockwise,Dartford QEII,11,730.8,3824.233333333333
Clockwise,Dartford QEII,12,702.8666666666667,3640.9333333333334
Clockwise,Dartford QEII,13,729.1,3791.1
Clockwise,Dartford QEII,14,714.1333333333333,3920.866666666667
Clockwise,Dartford QEII,15,681.6,4231.166666666667
Clockwise,Dartford QEII,16,552.3333333333334,4503.733333333334
Clockwise,Dartford QEII,17,476.23333333333335,4366.133333333333
Clockwise,Dartford QEII,18,423.46666666666664,3764.766666666667
Clockwise,Dartford QEII,19,362.5,2969.7
Clockwise,Dartford QEII,20,298.56666666666666,2280.266666666667
Clockwise,Dartford QEII,21,248.1,1599.8333333333333
Clockwise,Dartford QEII,22,212.06666666666666,1377.5
Clockwise,Dartford QEII,23,190.4,942.7666666666667
Clockwise,J1-2,0,191.5,773.4
Clockwise,J1-2,1,197.0,605.6666666666666
Clockwise,J1-2,2,210.16666666666666,574.0333333333333
Clockwise,J1-2,3,252.83333333333334,667.7666666666667
Clockwise,J1-2,4,458.8666666666667,1095.1666666666667
Clockwise,J1-2,5,816.8333333333334,2659.6
Clockwise,J1-2,6,1158.6666666666667,4567.6
Clockwise,J1-2,7,1145.3,4849.133333333333
Clockwise,J1-2,8,1010.7,4513.466666666666
Clockwise,J1-2,9,901.4,4345.4
Clockwise,J1-2,10,946.0666666666667,4497.566666666667
Clockwise,J1-2,11,969.6,4561.666666666667
Clockwise,J1-2,12,959.9,4484.3
Clockwise,J1-2,13,1010.7,4673.033333333334
Clockwise,J1-2,14,962.8333333333334,5023.066666666667
Clockwise,J1-2,15,932.6666666666666,5306.033333333334
Clockwise,J1-2,16,851.2,5746.033333333334
Clockwise,J1-2,17,800.2333333333333,5693.6
Clockwise,J1-2,18,553.3666666666667,4709.566666666667
Clockwise,J1-2,19,466.73333333333335,3643.266666666667
Clockwise,J1-2,20,394.56666666666666,2786.3333333333335
Clockwise,J1-2,21,308.6,1986.6
Clockwise,J1-2,22,256.0,1654.7
Clockwise,J1-2,23,214.76666666666668,1059.5666666666666
Clockwise,J11-12,0,157.66666666666666,977.5666666666667
Clockwise,J11-12,1,180.53333333333333,796.9333333333333
Clockwise,J11-12,2,187.66666666666666,659.2333333333333
Clockwise,J11-12,3,214.33333333333334,776.5666666666667
Clockwise,J11-12,4,280.3,1206.0
Clockwise,J11-12,5,466.3666666666667,2784.0333333333333
Clockwise,J11-12,6,599.1333333333333,5619.733333333334
Clockwise,J11-12,7,538.6666666666666,5976.733333333334
Clockwise,J11-12,8,603.6666666666666,6095.533333333334
Clockwise,J11-12,9,722.4333333333333,6315.866666666667
Clockwise,J11-12,10,725.1333333333333,6126.1
Clockwise,J11-12,11,741.4,5977.866666666667
Clockwise,J11-12,12,770.8666666666667,5961.6
Clockwise,J11-12,13,775.5,5908.266666666666
Clockwise,J11-12,14,695.9333333333333,5892.166666666667
